finding_id,outcome,measure,population,hedges_g,se,ci_lower,ci_upper,adjustment,clustering_adjusted,n_intervention,n_control,study_title,study_authors,study_venue,study_doi,study_intervention,study_intervention_description,study_control,study_n_total,study_n_high_ability,study_n_regular,study_duration_months
1,"Educ. Outcomes & Learning›Basic Skills and Literacy Educ. Externalities›Student Behaviour, Attitudes & Well-being",Iowa Test of Basic Skills HIGH_ITBS,high-ability,0.33,0.078,0.18,0.48,Baseline adjusted,not clustering adjusted,,,Ability Grouping and Student Achievement in Elementary Schools,"Kerckhoff, A. C. (1986)",American Educational Research Journal,doi:10.3102/00028312023002415 ↗,The ‘vanguard’ program,"Separate instruction in reading, language, mathematics, and science for high ability students, while mixed in physical education, home room, recess, music, and art.",Business as usual,667,,,36
2,"Educ. Outcomes & Learning›Basic Skills and Literacy Educ. Externalities›Student Behaviour, Attitudes & Well-being Educational Outcomes and Learning",Iowa Test of Basic Skills AVERAGE_ITBS Regular students,regular,-0.48,0.096,-0.67,-0.29,Baseline adjusted,not clustering adjusted,222.0,222.0,Ability Grouping and Student Achievement in Elementary Schools,"Kerckhoff, A. C. (1986)",American Educational Research Journal,doi:10.3102/00028312023002415 ↗,The ‘vanguard’ program,"Separate instruction in reading, language, mathematics, and science for high ability students, while mixed in physical education, home room, recess, music, and art.",Business as usual,667,,,36
